initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.4,0.008,2240937000.0,41742,3.71840496,3.93002088,0.13438751
1.4,0.008,2240937000.0,41741,3.71838532,3.93008868,0.1342413
1.4,0.008,2240937000.0,41740,3.7183308,3.93005333,0.13405878
1.4,0.008,2240937000.0,41739,3.71827255,3.93001203,0.13386727
1.4,0.008,2240937000.0,41746,3.71848967,3.93003176,0.13471508
1.4,0.008,2240937000.0,41756,3.7188126,3.93007019,0.13596732
1.4,0.008,2240937000.0,41757,3.71884493,3.93004112,0.13612559
1.4,0.008,2240937000.0,41758,3.71888982,3.93006858,0.13627756
1.4,0.008,2240937000.0,41776,3.71935962,3.93003422,0.1381892
1.4,0.008,2240937000.0,41775,3.719329,3.93001735,0.13808373
1.4,0.008,2240937000.0,41774,3.71930416,3.92999237,0.13800946
1.4,0.008,2240937000.0,41773,3.71927845,3.92996093,0.13793811
1.4,0.008,2240937000.0,41772,3.71926475,3.9300282,0.13781616
1.4,0.008,2240937000.0,41771,3.71921169,3.93003153,0.1376007
1.4,0.008,2240937000.0,41770,3.71918425,3.93003564,0.13748693
1.4,0.008,2240937000.0,41769,3.71916105,3.93001335,0.13741655
1.4,0.008,2240937000.0,41768,3.71914,3.92999131,0.13735445
1.4,0.008,2240937000.0,41767,3.71912356,3.93001483,0.13726526
1.4,0.008,2240937000.0,41766,3.71909435,3.93006764,0.13709575
1.4,0.008,2240937000.0,41765,3.71906323,3.93002304,0.13701597
1.4,0.008,2240937000.0,41764,3.71903676,3.92998629,0.13694692
1.4,0.008,2240937000.0,41763,3.71902436,3.9300151,0.1368686
1.4,0.008,2240937000.0,41762,3.71901179,3.93003525,0.13679824
1.4,0.008,2240937000.0,41761,3.71897965,3.93002148,0.13668357
1.4,0.008,2240937000.0,41760,3.71895603,3.93002313,0.13658757
1.4,0.008,2240937000.0,41737,3.71820265,3.93003461,0.13356538
1.4,0.008,2240937000.0,41658,3.71631449,3.92999408,0.12606127
1.4,0.008,2240937000.0,41561,3.71389791,3.93003917,0.11636078
1.4,0.008,2240937000.0,41656,3.71626844,3.93001244,0.12585895
1.4,0.008,2240937000.0,41553,3.71370318,3.93004798,0.11557393
1.4,0.008,2240937000.0,41552,3.71368107,3.93001746,0.11551609
1.4,0.008,2240937000.0,41551,3.71366617,3.93002106,0.11545297
1.4,0.008,2240937000.0,41550,3.71365454,3.93005201,0.1153756
1.4,0.008,2240937000.0,41549,3.71361657,3.93003789,0.11523796
1.4,0.008,2240937000.0,41548,3.71359062,3.93002498,0.11514718
1.4,0.008,2240937000.0,41547,3.71356658,3.93000465,0.11507145
1.4,0.008,2240937000.0,41554,3.71372596,3.93004704,0.11566586
1.4,0.008,2240937000.0,41546,3.71355518,3.93004187,0.11498871
1.4,0.008,2240937000.0,41544,3.71351879,3.93008189,0.11480331
1.4,0.008,2240937000.0,41543,3.71349614,3.93006581,0.1147289
1.4,0.008,2240937000.0,41542,3.71348443,3.93006758,0.11468037
1.4,0.008,2240937000.0,41541,3.71346757,3.93002354,0.11465707
1.4,0.008,2240937000.0,41540,3.71345148,3.930008,0.11460831
1.4,0.008,2240937000.0,41539,3.71343994,3.93009425,0.11447601
1.4,0.008,2240937000.0,41538,3.71341565,3.93006156,0.11441166
1.4,0.008,2240937000.0,41545,3.7135492,3.93010021,0.1149065
1.4,0.008,2240937000.0,41537,3.71336747,3.93003558,0.11424513
1.4,0.008,2240937000.0,41555,3.71376058,3.93007957,0.1157717
1.4,0.008,2240937000.0,41557,3.7137983,3.93001857,0.11598341
1.4,0.008,2240937000.0,41574,3.71417706,3.93008555,0.11742968
1.4,0.008,2240937000.0,41573,3.71414334,3.93005169,0.1173288
1.4,0.008,2240937000.0,41572,3.71411854,3.93004166,0.11723971
1.4,0.008,2240937000.0,41571,3.71409403,3.93001022,0.11717322
1.4,0.008,2240937000.0,41570,3.71408667,3.93005538,0.1170987
1.4,0.008,2240937000.0,41569,3.71407689,3.93007729,0.11703775
1.4,0.008,2240937000.0,41568,3.71404443,3.93003843,0.11694688
1.4,0.008,2240937000.0,41556,3.71377573,3.93001559,0.1158962
1.4,0.008,2240937000.0,41567,3.71402392,3.93004295,0.11686042
1.4,0.008,2240937000.0,41565,3.71399158,3.93004405,0.11673013
1.4,0.008,2240937000.0,41564,3.71396025,3.93006583,0.1165832
1.4,0.008,2240937000.0,41563,3.71393321,3.93004678,0.11649422
1.4,0.008,2240937000.0,41562,3.71390838,3.93001165,0.11643013
1.4,0.008,2240937000.0,41560,3.71387798,3.93001981,0.11630054
1.4,0.008,2240937000.0,41559,3.71384933,3.9300578,0.11614809
1.4,0.008,2240937000.0,41558,3.71382316,3.93004542,0.11605591
1.4,0.008,2240937000.0,41566,3.7140097,3.93005057,0.11679603
1.4,0.008,2240937000.0,41575,3.71417815,3.92998936,0.11753016
