initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
6.5,0.0025,55467627.72898586,57498090.67755917,2030462.9486,55467627.72898586,57498090.67755917,2030462.9486
6.5,0.003,56317416.12968375,58001817.58317015,1684401.4535,56317416.12968375,58001817.58317015,1684401.4535
6.5,0.0035,57074830.482629344,58575503.64122535,1500673.1586,57074830.482629344,58575503.64122535,1500673.1586
6.5,0.004,57675362.32437912,59261156.087106526,1585793.7627,57675362.32437912,59261156.087106526,1585793.7627
6.5,0.0045,58087279.00444493,59784957.065348096,1697678.0609,58087279.00444493,59784957.065348096,1697678.0609
6.5,0.005,58486048.23536254,60278963.22716504,1792914.9918,58486048.23536254,60278963.22716504,1792914.9918
6.5,0.0055,58875937.45350922,60785606.81522398,1909669.3617,58875937.45350922,60785606.81522398,1909669.3617
6.5,0.006,59218274.58418763,61190230.05329972,1971955.4691,59218274.58418763,61190230.05329972,1971955.4691
6.5,0.0065,59601240.40022244,61681340.98748704,2080100.5873,59601240.40022244,61681340.98748704,2080100.5873
6.5,0.007,59970747.42550727,62167274.641659774,2196527.2162,59970747.42550727,62167274.641659774,2196527.2162
6.5,0.0075,60311509.32975962,62597600.55061712,2286091.2209,60311509.32975962,62597600.55061712,2286091.2209
6.5,0.008,60726197.31573372,63036065.98289687,2309868.6672,60726197.31573372,63036065.98289687,2309868.6672
6.5,0.0085,61104903.30362605,63546428.928301096,2441525.6247,61104903.30362605,63546428.928301096,2441525.6247
6.5,0.009,61471690.65044477,63988192.36544687,2516501.715,61471690.65044477,63988192.36544687,2516501.715
6.5,0.0095,61877738.42300777,64460374.695150696,2582636.2721,61877738.42300777,64460374.695150696,2582636.2721
6.5,0.01,62284968.08639448,64876504.002970845,2591535.9166,62284968.08639448,64876504.002970845,2591535.9166
6.5,0.0105,62594635.52091315,65270555.30515378,2675919.7842,62594635.52091315,65270555.30515378,2675919.7842
6.5,0.011,62886110.52946727,65523150.25143014,2637039.722,62886110.52946727,65523150.25143014,2637039.722
6.5,0.0115,63168862.27033207,65859082.7864563,2690220.5161,63168862.27033207,65859082.7864563,2690220.5161
6.5,0.012,63476166.37010666,66163159.70695979,2686993.3369,63476166.37010666,66163159.70695979,2686993.3369
6.5,0.0125,63765488.56471037,66502768.65884216,2737280.0941,63765488.56471037,66502768.65884216,2737280.0941
6.5,0.013,64055479.64295346,66811856.282125,2756376.6392,64055479.64295346,66811856.282125,2756376.6392
