initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0045,5.0,2,3201162.817438379,101996749.17738965,105197911.99482803,101996749.17738965,105197911.99482803,3201162.817438379,3201162.817438379,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0045
0.005,5.0,2,3380400.822503343,102838474.39350908,106218875.21601242,102838474.39350908,106218875.21601242,3380400.822503343,3380400.822503343,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0050
0.0055,5.0,2,3696620.5380246043,103679177.95111173,107375798.48913634,103679177.95111173,107375798.48913634,3696620.5380246043,3696620.5380246043,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0055
0.006,5.0,2,3859024.4196228385,104564129.53499947,108423153.95462231,104564129.53499947,108423153.95462231,3859024.4196228385,3859024.4196228385,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0060
0.0065,5.0,2,4089357.0229679197,105429242.42156555,109518599.44453347,105429242.42156555,109518599.44453347,4089357.0229679197,4089357.0229679197,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0065
0.007,5.0,2,4209263.2009988725,106385210.6763596,110594473.87735847,106385210.6763596,110594473.87735847,4209263.2009988725,4209263.2009988725,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0070
0.0075,5.0,2,4366397.977639824,107303097.78632094,111669495.76396076,107303097.78632094,111669495.76396076,4366397.977639824,4366397.977639824,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0075
0.008,5.0,2,4508573.95365198,108284381.34639464,112792955.30004662,108284381.34639464,112792955.30004662,4508573.95365198,4508573.95365198,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0080
0.0085,5.0,2,4682457.947767213,109236234.16061027,113918692.10837749,109236234.16061027,113918692.10837749,4682457.947767213,4682457.947767213,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0085
0.009,5.0,2,4748977.982742533,110254506.3940746,115003484.37681714,110254506.3940746,115003484.37681714,4748977.982742533,4748977.982742533,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0090
0.0095,5.0,2,4861359.452232778,111266734.79048903,116128094.24272181,111266734.79048903,116128094.24272181,4861359.452232778,4861359.452232778,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0095
0.01,5.0,2,4795348.27878803,112315314.43879415,117110662.71758218,112315314.43879415,117110662.71758218,4795348.27878803,4795348.27878803,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0100
0.0105,5.0,2,4806921.943638295,113133619.62764692,117940541.57128522,113133619.62764692,117940541.57128522,4806921.943638295,4806921.943638295,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0105
0.011,5.0,1,4766094.739511415,113852095.94572358,118618190.685235,113852095.94572358,118618190.685235,4766094.739511415,4766094.739511415,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0110
0.0115,5.0,1,4662999.9018325955,114607981.00483292,119270980.90666552,114607981.00483292,119270980.90666552,4662999.9018325955,4662999.9018325955,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0115
0.012,5.0,1,4551780.630154252,115383689.39899094,119935470.0291452,115383689.39899094,119935470.0291452,4551780.630154252,4551780.630154252,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0120
0.0125,5.0,1,4330286.379031852,116175742.21446604,120506028.59349789,116175742.21446604,120506028.59349789,4330286.379031852,4330286.379031852,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0125
