initial_Z,initial_mass,run_dir_path,blue_loop_crossing_count,blue_loop_duration_yr,max_log_L,max_log_Teff,max_log_R,first_model_number,last_model_number,first_age_yr,last_age_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration
0.0095,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0095,1,4881309.099283695,3.110458864782829,3.7581296104368387,1.6167974984546585,2143,2254,142657044.53362077,147468092.87367654,142657044.53362077,147538353.63290447,142657044.53362077,147538353.63290447,4881309.099283695,4881309.099283695
0.01,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0100,1,973673.1270208657,3.056912748105411,3.743322227368591,1.5845192105721035,2174,2192,144200960.51718473,145124467.9414163,144200960.51718473,145174633.6442056,144200960.51718473,145174633.6442056,973673.1270208657,973673.1270208657
0.0015,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0015,2,4579771.760137364,3.590971993209261,3.9086392073480485,1.8995080517424336,1748,1956,92117770.3340521,96695318.64124103,92117770.3340521,96697542.09418947,92117770.3340521,96697542.09418947,4579771.760137364,4579771.760137364
0.002,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0020,2,3503453.517428711,3.552900653731158,3.8413968545963577,1.8829676044187997,1783,1971,94681414.04286548,98180436.00062098,94681414.04286548,98184867.5602942,94681414.04286548,98184867.5602942,3503453.517428711,3503453.517428711
0.0025,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0025,2,2643337.859799564,3.523135595789895,3.795749712829091,1.864596678889763,1816,2003,96758337.54715036,99389871.15614623,96758337.54715036,99401675.40694992,96758337.54715036,99401675.40694992,2643337.859799564,2643337.859799564
0.003,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0030,1,2144013.4240023345,3.4964205170797524,3.771124105673332,1.8511714213345278,1831,1953,98568229.8655198,100703947.77787985,98568229.8655198,100712243.28952214,98568229.8655198,100712243.28952214,2144013.4240023345,2144013.4240023345
0.0035,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0035,1,2409416.026677653,3.480471789688388,3.787759455306138,1.840014744783716,1851,1993,99992716.30960572,102385399.30137743,99992716.30960572,102402132.33628337,99992716.30960572,102402132.33628337,2409416.026677653,2409416.026677653
0.004,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0040,2,2825305.9423959255,3.4719254536745905,3.821265033134196,1.8263321128771512,1868,2025,101212158.84434937,104033885.57570952,101212158.84434937,104037464.7867453,101212158.84434937,104037464.7867453,2825305.9423959255,2825305.9423959255
0.0045,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0045,2,3201162.817438379,3.471344113113676,3.8645313766020357,1.8205346160066118,1885,2042,101996749.17738965,105195139.97991283,101996749.17738965,105197911.99482803,101996749.17738965,105197911.99482803,3201162.817438379,3201162.817438379
0.005,5.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.0MSUN_z0.0050,2,3380400.822503343,3.459398932891848,3.8826521257516995,1.8098911996895282,1892,2053,102838474.39350908,106215225.71879587,102838474.39350908,106218875.21601242,102838474.39350908,106218875.21601242,3380400.822503343,3380400.822503343
