initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
5.5,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0085,2001.0,2166.0
5.5,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0090,2042.0,2202.0
5.5,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0095,2071.0,2230.0
5.5,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0100,2099.0,2265.0
5.5,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0105,2115.0,2288.0
5.5,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0110,2136.0,2312.0
5.5,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0115,2166.0,2340.0
5.5,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0120,2108.0,2278.0
5.5,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0125,2113.0,2305.0
5.5,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0130,2129.0,2319.0
5.5,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0135,2145.0,2335.0
5.5,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0140,2154.0,2346.0
5.5,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0145,2162.0,2336.0
5.5,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0150,2175.0,2344.0
5.5,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0155,2187.0,2337.0
5.5,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0160,2197.0,2335.0
5.5,0.0165,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0165,2293.0,2410.0
5.5,0.0170,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0170,2309.0,2405.0
5.5,0.0175,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0175,2326.0,2398.0
5.5,0.0180,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0180,2338.0,2358.0
5.5,0.0185,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_5.5MSUN_z0.0185,2350.0,2360.0
6.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0015,1743.0,1993.0
6.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0020,1765.0,1948.0
6.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_6.0MSUN_z0.0025,1800.0,1972.0
