initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.003,5.0,1,1123763.2362294048,104581935.5508464,105705698.7870758,104581935.5508464,105705698.7870758,1123763.2362294048,1123763.2362294048,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0030
0.0035,5.0,1,1587147.1318140924,105840480.06916893,107427627.20098302,105840480.06916893,107427627.20098302,1587147.1318140924,1587147.1318140924,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0035
0.004,5.0,2,2067500.8720200658,107074112.4978475,109141613.36986756,107074112.4978475,109141613.36986756,2067500.8720200658,2067500.8720200658,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0040
0.0045,5.0,2,2246771.6588682383,108039836.07992579,110286607.73879403,108039836.07992579,110286607.73879403,2246771.6588682383,2246771.6588682383,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0045
0.005,5.0,2,2301930.6113776863,109072467.80770658,111374398.41908427,109072467.80770658,111374398.41908427,2301930.6113776863,2301930.6113776863,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0050
0.0055,5.0,2,2395343.1586200297,110042721.18486546,112438064.34348549,110042721.18486546,112438064.34348549,2395343.1586200297,2395343.1586200297,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0055
0.006,5.0,2,2454650.0476879776,111094873.72068347,113549523.76837145,111094873.72068347,113549523.76837145,2454650.0476879776,2454650.0476879776,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0060
0.0065,5.0,2,2535584.1716815233,112127964.53655289,114663548.70823441,112127964.53655289,114663548.70823441,2535584.1716815233,2535584.1716815233,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0065
0.007,5.0,2,2589807.0139196217,113179377.30071817,115769184.3146378,113179377.30071817,115769184.3146378,2589807.0139196217,2589807.0139196217,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0070
0.0075,5.0,2,2556392.523532763,114302205.17643896,116858597.69997172,114302205.17643896,116858597.69997172,2556392.523532763,2556392.523532763,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0075
0.008,5.0,2,2457762.0447165966,115397142.5566066,117854904.6013232,115397142.5566066,117854904.6013232,2457762.0447165966,2457762.0447165966,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0080
0.0085,5.0,1,2354476.0389757603,116531480.08372784,118885956.1227036,116531480.08372784,118885956.1227036,2354476.0389757603,2354476.0389757603,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0085
0.009,5.0,1,2146980.981460616,117666722.39441602,119813703.37587664,117666722.39441602,119813703.37587664,2146980.981460616,2146980.981460616,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0090
0.0095,5.0,1,1746360.7296884954,118866231.0712571,120612591.8009456,118866231.0712571,120612591.8009456,1746360.7296884954,1746360.7296884954,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0095
0.01,5.0,1,1078428.969486624,120036197.85950577,121114626.8289924,120036197.85950577,121114626.8289924,1078428.969486624,1078428.969486624,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0100
0.0105,5.0,1,661978.3039497882,120965770.2569517,121627748.5609015,120965770.2569517,121627748.5609015,661978.3039497882,661978.3039497882,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0105
0.0015,5.5,2,2333180.689688176,80550131.40822789,82883312.09791607,80550131.40822789,82883312.09791607,2333180.689688176,2333180.689688176,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0015
0.002,5.5,1,1433534.7623157501,82349192.93368417,83782727.69599992,82349192.93368417,83782727.69599992,1433534.7623157501,1433534.7623157501,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0020
0.0025,5.5,1,886662.3177240789,83855716.60116252,84742378.9188866,83855716.60116252,84742378.9188866,886662.3177240789,886662.3177240789,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0025
0.003,5.5,1,813725.4832494557,85020918.84624672,85834644.32949618,85020918.84624672,85834644.32949618,813725.4832494557,813725.4832494557,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0030
0.0035,5.5,1,984668.8551959693,86039176.06101424,87023844.9162102,86039176.06101424,87023844.9162102,984668.8551959693,984668.8551959693,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0035
0.004,5.5,1,1513199.8649852127,86982199.69225022,88495399.55723543,86982199.69225022,88495399.55723543,1513199.8649852127,1513199.8649852127,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0040
0.0045,5.5,2,1819707.1595744342,87663446.61728275,89483153.77685718,87663446.61728275,89483153.77685718,1819707.1595744342,1819707.1595744342,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0045
0.005,5.5,2,1897991.949856013,88391760.86634675,90289752.81620276,88391760.86634675,90289752.81620276,1897991.949856013,1897991.949856013,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0050
0.0055,5.5,2,1938250.5229411721,89093741.08578439,91031991.60872556,89093741.08578439,91031991.60872556,1938250.5229411721,1938250.5229411721,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0055
0.006,5.5,2,2007907.1006717533,89842739.12815261,91850646.22882436,89842739.12815261,91850646.22882436,2007907.1006717533,2007907.1006717533,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0060
