mass,Z,model_number,profile_number,log_L,log_Teff,star_mass_mesa,freq_real,freq_imag,l,n_pg,eta,detail_file_path,profile_folder_path,center_h1,star_age,log_g,integrated_work_HeII_zone,integrated_work_HHeI_zone
3.5,0.002,1960,98,3.02559147212256,3.767264091895004,3.5,0.6094867221296995,-0.006510435739124968,0,4,-0.6396921724712886,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00098/detail.l0.n+4.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00098,0.0,219929323.16225764,1.9802942453818664,,-0.8301361184014108
3.5,0.002,1970,99,3.0205392250346907,3.742945841555089,3.5,0.22332972727678047,0.00041789098858165715,0,1,0.20394307529024927,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00099/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00099,0.0,220144562.61825433,1.8880734911100805,,0.10213252654673952
3.5,0.002,1970,99,3.0205392250346907,3.742945841555089,3.5,0.3117497902394476,0.0012662385662297714,0,2,0.2298867298866643,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00099/detail.l0.n+2.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00099,0.0,220144562.61825433,1.8880734911100805,,0.41872800733280546
3.5,0.002,1970,99,3.0205392250346907,3.742945841555089,3.5,0.41541734715105977,-0.0006156341617896022,0,3,-0.12369181940991338,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00099/detail.l0.n+3.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00099,0.0,220144562.61825433,1.8880734911100805,,0.20125158635091617
3.5,0.002,1970,99,3.0205392250346907,3.742945841555089,3.5,0.9846988502893613,-0.02735427384660194,0,8,-0.8754092197312218,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00099/detail.l0.n+8.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_3.5MSUN_z0.0020/profile00099,0.0,220144562.61825433,1.8880734911100805,,-15.916957093632131
5.0,0.004,2000,4,3.4705226475874773,3.779488081108604,5.0,0.1565680170073667,-0.0002042601778734957,0,1,-0.12235111583722487,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0040/profile00004/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0040/profile00004,2.9369016862715414e-40,103811822.393052,1.739160986757094,,0.06905151832139399
5.0,0.004,2000,4,3.4705226475874773,3.779488081108604,5.0,0.21986237636793818,-0.0003130776983032572,0,2,-0.06388690179350257,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0040/profile00004/detail.l0.n+2.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0040/profile00004,2.9369016862715414e-40,103811822.393052,1.739160986757094,,0.4416791705579079
5.0,0.004,2000,4,3.4705226475874773,3.779488081108604,5.0,0.2913953264407655,-0.0032110952353870065,0,3,-0.7905371134677893,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0040/profile00004/detail.l0.n+3.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0040/profile00004,2.9369016862715414e-40,103811822.393052,1.739160986757094,,-0.06565763540871261
5.0,0.006,2000,4,3.41460704363769,3.8766496024632646,5.0,0.36524571193181643,-0.0012883299264258093,0,1,-0.8958466432543546,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00004/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00004,0.0,105863701.67759916,2.183722676125525,,
5.0,0.006,2040,8,3.421922352273583,3.803251678126976,5.0,0.20525974606332462,-0.0005226143955930389,0,1,-0.37689740635706415,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00008/detail.l0.n+1.TXT,/home/tnd/mesagrid/mesa_blue_loop/output_mid/gyre_output/run_nad_convos_mid_5.0MSUN_z0.0060/profile00008,0.0,107938204.50427867,1.8828156701444776,,0.017656668613037052
