initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0065,4.5,2,6463457.723814964,128359894.8070938,134823352.53090876,128359894.8070938,134823352.53090876,6463457.723814964,6463457.723814964,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0065
0.007,4.5,2,6939434.697224796,129356729.29524595,136296163.99247074,129356729.29524595,136296163.99247074,6939434.697224796,6939434.697224796,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0070
0.0075,4.5,2,7354218.73854965,130493796.73077434,137848015.469324,130493796.73077434,137848015.469324,7354218.73854965,7354218.73854965,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0075
0.008,4.5,2,7811866.463580444,131541398.35576274,139353264.81934318,131541398.35576274,139353264.81934318,7811866.463580444,7811866.463580444,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0080
0.0085,4.5,2,8174681.26454103,132691123.66704664,140865804.93158767,132691123.66704664,140865804.93158767,8174681.26454103,8174681.26454103,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0085
0.009,4.5,2,8355539.245509282,133910186.81320004,142265726.05870932,133910186.81320004,142265726.05870932,8355539.245509282,8355539.245509282,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0090
0.0095,4.5,1,8745047.160221308,135030697.57657197,143775744.73679328,135030697.57657197,143775744.73679328,8745047.160221308,8745047.160221308,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0095
0.01,4.5,1,8354516.262257844,136535416.90990734,144889933.1721652,136535416.90990734,144889933.1721652,8354516.262257844,8354516.262257844,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0100
0.0105,4.5,1,8381415.466581196,137501589.6321246,145883005.0987058,137501589.6321246,145883005.0987058,8381415.466581196,8381415.466581196,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0105
0.011,4.5,1,8351908.854307234,138356156.23469797,146708065.0890052,138356156.23469797,146708065.0890052,8351908.854307234,8351908.854307234,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0110
0.0115,4.5,1,7744039.637804866,139384931.32286453,147128970.9606694,139384931.32286453,147128970.9606694,7744039.637804866,7744039.637804866,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0115
0.012,4.5,1,7135366.58808136,140335921.6673582,147471288.25543955,140335921.6673582,147471288.25543955,7135366.58808136,7135366.58808136,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0120
