initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
5.5,0.0045,79273692.54436287,81735958.55264822,2462266.0083,79273692.54436287,81735958.55264822,2462266.0083
5.5,0.005,80055151.83241583,82643817.29913394,2588665.4667,80055151.83241583,82643817.29913394,2588665.4667
5.5,0.0055,80638354.49789385,83596562.12961598,2958207.6317,80638354.49789385,83596562.12961598,2958207.6317
5.5,0.006,81165313.34480877,84481669.65039007,3316356.3056,81165313.34480877,84481669.65039007,3316356.3056
5.5,0.0065,81680956.08717473,85200410.10193501,3519454.0148,81680956.08717473,85200410.10193501,3519454.0148
5.5,0.007,82191979.46361527,85991177.9676066,3799198.504,82191979.46361527,85991177.9676066,3799198.504
5.5,0.0075,82700289.93888755,86822738.56039408,4122448.6215,82700289.93888755,86822738.56039408,4122448.6215
5.5,0.008,83244523.59870818,87624430.2058688,4379906.6072,83244523.59870818,87624430.2058688,4379906.6072
5.5,0.0085,83825066.75567152,88377718.95659146,4552652.2009,83825066.75567152,88377718.95659146,4552652.2009
5.5,0.009,84323638.54754241,89212882.74964568,4889244.2021,84323638.54754241,89212882.74964568,4889244.2021
5.5,0.0095,85009329.12903568,90027737.69254328,5018408.5635,85009329.12903568,90027737.69254328,5018408.5635
5.5,0.01,85620260.19878717,90827692.21268044,5207432.0139,85620260.19878717,90827692.21268044,5207432.0139
5.5,0.0105,86069444.41714977,91429426.18124354,5359981.7641,86069444.41714977,91429426.18124354,5359981.7641
5.5,0.011,86522022.7032124,91982915.61906505,5460892.9159,86522022.7032124,91982915.61906505,5460892.9159
5.5,0.0115,86947388.0054595,92548026.50942002,5600638.504,86947388.0054595,92548026.50942002,5600638.504
5.5,0.012,87363288.01770075,93153849.1422995,5790561.1246,87363288.01770075,93153849.1422995,5790561.1246
5.5,0.0125,87837196.34607568,93749878.19805214,5912681.852,87837196.34607568,93749878.19805214,5912681.852
5.5,0.013,88370685.95755832,94293167.9586642,5922482.0011,88370685.95755832,94293167.9586642,5922482.0011
5.5,0.0135,88876168.07708307,94880252.90810949,6004084.831,88876168.07708307,94880252.90810949,6004084.831
5.5,0.014,89368483.07927023,95473685.77425084,6105202.695,89368483.07927023,95473685.77425084,6105202.695
5.5,0.0145,89806975.25537708,96039107.72605132,6232132.4707,89806975.25537708,96039107.72605132,6232132.4707
5.5,0.015,90372171.5687134,96588970.31380814,6216798.7451,90372171.5687134,96588970.31380814,6216798.7451
5.5,0.0155,90873659.69098566,97155909.85553592,6282250.1646,90873659.69098566,97155909.85553592,6282250.1646
5.5,0.016,91348772.10738017,97779804.34488006,6431032.2375,91348772.10738017,97779804.34488006,6431032.2375
5.5,0.0165,91905392.75470014,98281590.70649968,6376197.9518,91905392.75470014,98281590.70649968,6376197.9518
5.5,0.017,92472864.49226436,98795350.67259136,6322486.1803,92472864.49226436,98795350.67259136,6322486.1803
5.5,0.0175,93039803.65465048,99345514.32282355,6305710.6682,93039803.65465048,99345514.32282355,6305710.6682
5.5,0.018,93606549.80551083,99799445.42245176,6192895.6169,93606549.80551083,99799445.42245176,6192895.6169
5.5,0.0185,94164272.37128682,100399820.215427,6235547.8441,94164272.37128682,100399820.215427,6235547.8441
5.5,0.019,94717725.5459842,100822826.22175932,6105100.6758,94717725.5459842,100822826.22175932,6105100.6758
5.5,0.0195,95279668.364616,101263503.41875029,5983835.0541,95279668.364616,101263503.41875029,5983835.0541
5.5,0.02,95832135.47526357,101745631.47914071,5913496.0039,95832135.47526357,101745631.47914071,5913496.0039
6.0,0.0015,58724421.05256638,63597628.022138655,4873206.9696,58724421.05256638,63597628.022138655,4873206.9696
6.0,0.002,60144019.08063392,64579537.82356609,4435518.7429,60144019.08063392,64579537.82356609,4435518.7429
6.0,0.0025,61343850.76297514,65274044.35965405,3930193.5967,61343850.76297514,65274044.35965405,3930193.5967
6.0,0.003,62525121.75729433,65922910.64102071,3397788.8837,62525121.75729433,65922910.64102071,3397788.8837
6.0,0.0035,63703739.84178926,66572746.39413632,2869006.5523,63703739.84178926,66572746.39413632,2869006.5523
6.0,0.004,64795139.94132001,67231520.52480201,2436380.5835,64795139.94132001,67231520.52480201,2436380.5835
6.0,0.0045,65573770.79975469,67824353.16081104,2250582.3611,65573770.79975469,67824353.16081104,2250582.3611
6.0,0.005,66125003.16707629,68492310.75629662,2367307.5892,66125003.16707629,68492310.75629662,2367307.5892
6.0,0.0055,66627129.72068472,69191552.58906716,2564422.8684,66627129.72068472,69191552.58906716,2564422.8684
6.0,0.006,67088955.332165726,69867627.43097526,2778672.0988,67088955.332165726,69867627.43097526,2778672.0988
6.0,0.0065,67526142.97867416,70433895.54176597,2907752.5631,67526142.97867416,70433895.54176597,2907752.5631
6.0,0.007,67901383.48628397,70983980.57460432,3082597.0883,67901383.48628397,70983980.57460432,3082597.0883
6.0,0.0075,68290452.3809922,71566589.93136093,3276137.5504,68290452.3809922,71566589.93136093,3276137.5504
6.0,0.008,68718286.04967734,72165491.57784064,3447205.5282,68718286.04967734,72165491.57784064,3447205.5282
6.0,0.0085,69088408.40514158,72748202.99091354,3659794.5858,69088408.40514158,72748202.99091354,3659794.5858
6.0,0.009,69514343.09376737,73356931.60453728,3842588.5108,69514343.09376737,73356931.60453728,3842588.5108
6.0,0.0095,69944539.10054238,73965168.21842465,4020629.1179,69944539.10054238,73965168.21842465,4020629.1179
6.0,0.01,70447974.8652486,74592542.70209146,4144567.8368,70447974.8652486,74592542.70209146,4144567.8368
6.0,0.0105,70821446.64344239,75039596.39649948,4218149.7531,70821446.64344239,75039596.39649948,4218149.7531
6.0,0.011,71100187.92647363,75497707.10708795,4397519.1806,71100187.92647363,75497707.10708795,4397519.1806
6.0,0.0115,71422812.90876785,75927839.83146715,4505026.9227,71422812.90876785,75927839.83146715,4505026.9227
6.0,0.012,71702441.79982102,76366446.871092,4664005.0713,71702441.79982102,76366446.871092,4664005.0713
6.0,0.0125,72070638.29477908,76786689.39777389,4716051.103,72070638.29477908,76786689.39777389,4716051.103
6.0,0.013,72394221.93391429,77213139.37372237,4818917.4398,72394221.93391429,77213139.37372237,4818917.4398
6.0,0.0135,72786350.1013837,77625471.24158262,4839121.1402,72786350.1013837,77625471.24158262,4839121.1402
6.0,0.014,73131101.21395777,78068020.15482478,4936918.9409,73131101.21395777,78068020.15482478,4936918.9409
6.0,0.0145,73524774.11714327,78491862.48845175,4967088.3713,73524774.11714327,78491862.48845175,4967088.3713
6.0,0.015,73864666.76665542,78940295.33632866,5075628.5697,73864666.76665542,78940295.33632866,5075628.5697
6.0,0.0155,74233606.30850865,79379048.8482919,5145442.5398,74233606.30850865,79379048.8482919,5145442.5398
6.0,0.016,74598539.55556412,79834705.52802847,5236165.9725,74598539.55556412,79834705.52802847,5236165.9725
6.0,0.0165,74994108.20525315,80251955.70306806,5257847.4978,74994108.20525315,80251955.70306806,5257847.4978
6.0,0.017,75385394.56829853,80682938.70287608,5297544.1346,75385394.56829853,80682938.70287608,5297544.1346
6.0,0.0175,75804306.56809863,81091024.6490668,5286718.081,75804306.56809863,81091024.6490668,5286718.081
6.0,0.018,76195082.88005105,81565743.89865065,5370661.0186,76195082.88005105,81565743.89865065,5370661.0186
6.0,0.0185,76580216.28364006,81986302.91366474,5406086.63,76580216.28364006,81986302.91366474,5406086.63
6.0,0.019,77050647.71379207,82391580.09379384,5340932.38,77050647.71379207,82391580.09379384,5340932.38
6.0,0.0195,77438507.2076879,82812212.31858584,5373705.1109,77438507.2076879,82812212.31858584,5373705.1109
6.0,0.02,77823283.00659044,83232242.35634162,5408959.3498,77823283.00659044,83232242.35634162,5408959.3498
6.5,0.0015,50031679.328884825,50064956.49125001,33277.1624,50031679.328884825,50064956.49125001,33277.1624
6.5,0.002,51153852.73142638,54853322.27978192,3699469.5484,51153852.73142638,54853322.27978192,3699469.5484
6.5,0.0025,52083714.35033602,55421944.19607216,3338229.8457,52083714.35033602,55421944.19607216,3338229.8457
6.5,0.003,53013596.96074053,55932478.05638609,2918881.0956,53013596.96074053,55932478.05638609,2918881.0956
6.5,0.0035,53924993.84223113,56447805.66760541,2522811.8254,53924993.84223113,56447805.66760541,2522811.8254
6.5,0.004,54767004.27849877,56970845.05771623,2203840.7792,54767004.27849877,56970845.05771623,2203840.7792
6.5,0.0045,55350127.407533,57395700.25691488,2045572.8494,55350127.407533,57395700.25691488,2045572.8494
6.5,0.005,55860676.02429209,57864032.4105288,2003356.3862,55860676.02429209,57864032.4105288,2003356.3862
6.5,0.0055,56236862.662756406,58426834.792953685,2189972.1302,56236862.662756406,58426834.792953685,2189972.1302
6.5,0.006,56558443.07469855,58875283.46202714,2316840.3873,56558443.07469855,58875283.46202714,2316840.3873
6.5,0.0065,56905612.05039922,59390800.3728004,2485188.3224,56905612.05039922,59390800.3728004,2485188.3224
6.5,0.007,57243075.61440532,59836046.1713255,2592970.5569,57243075.61440532,59836046.1713255,2592970.5569
6.5,0.0075,57547880.12453226,60276690.23357201,2728810.109,57547880.12453226,60276690.23357201,2728810.109
6.5,0.008,57866850.82708943,60748277.70546357,2881426.8784,57866850.82708943,60748277.70546357,2881426.8784
6.5,0.0085,58148810.80457874,61221667.82167142,3072857.0171,58148810.80457874,61221667.82167142,3072857.0171
6.5,0.009,58494411.81825266,61669796.398064025,3175384.5798,58494411.81825266,61669796.398064025,3175384.5798
6.5,0.0095,58780560.63002341,62085506.10285502,3304945.4728,58780560.63002341,62085506.10285502,3304945.4728
6.5,0.01,59165507.06887215,62561497.383246094,3395990.3144,59165507.06887215,62561497.383246094,3395990.3144
6.5,0.0105,59406794.06642655,62921354.02863345,3514559.9622,59406794.06642655,62921354.02863345,3514559.9622
6.5,0.011,59629350.726151854,63252425.054624826,3623074.3285,59629350.726151854,63252425.054624826,3623074.3285
6.5,0.0115,59853607.85089679,63600373.834409565,3746765.9835,59853607.85089679,63600373.834409565,3746765.9835
6.5,0.012,60101467.73309746,63932895.9056365,3831428.1725,60101467.73309746,63932895.9056365,3831428.1725
6.5,0.0125,60339529.21758098,64281259.10603541,3941729.8885,60339529.21758098,64281259.10603541,3941729.8885
6.5,0.013,60627691.534086086,64585741.574184224,3958050.0401,60627691.534086086,64585741.574184224,3958050.0401
6.5,0.0135,60870827.10125267,64911535.95361908,4040708.8524,60870827.10125267,64911535.95361908,4040708.8524
6.5,0.014,61146827.37309234,65187042.45507893,4040215.082,61146827.37309234,65187042.45507893,4040215.082
6.5,0.0145,61417034.80990009,65551069.94293914,4134035.133,61417034.80990009,65551069.94293914,4134035.133
6.5,0.015,61686211.96126751,65847875.12037262,4161663.1591,61686211.96126751,65847875.12037262,4161663.1591
6.5,0.0155,61968508.88860752,66156178.76054526,4187669.8719,61968508.88860752,66156178.76054526,4187669.8719
6.5,0.016,62254807.44615468,66441878.391457446,4187070.9453,62254807.44615468,66441878.391457446,4187070.9453
6.5,0.0165,62537979.72408579,66771309.86547236,4233330.1414,62537979.72408579,66771309.86547236,4233330.1414
6.5,0.017,62809603.51001634,67116051.99627784,4306448.4863,62809603.51001634,67116051.99627784,4306448.4863
6.5,0.0175,63078321.974793404,67442358.51639387,4364036.5416,63078321.974793404,67442358.51639387,4364036.5416
6.5,0.018,63385927.34801266,67806407.00064117,4420479.6526,63385927.34801266,67806407.00064117,4420479.6526
6.5,0.0185,63714399.19605953,68145919.77325265,4431520.5772,63714399.19605953,68145919.77325265,4431520.5772
6.5,0.019,64034762.86023686,68450343.18824881,4415580.328,64034762.86023686,68450343.18824881,4415580.328
6.5,0.0195,64327184.899248,68802552.6206045,4475367.7214,64327184.899248,68802552.6206045,4475367.7214
6.5,0.02,64654674.89811819,69116017.2121364,4461342.314,64654674.89811819,69116017.2121364,4461342.314
7.0,0.0015,43355106.98780093,43376624.73797468,21517.7502,43355106.98780093,43376624.73797468,21517.7502
7.0,0.002,44235817.3187528,47374985.2885553,3139167.9698,44235817.3187528,47374985.2885553,3139167.9698
7.0,0.0025,44982790.67144416,47796842.78113523,2814052.1097,44982790.67144416,47796842.78113523,2814052.1097
7.0,0.003,45735547.03629088,48195094.50818349,2459547.4719,45735547.03629088,48195094.50818349,2459547.4719
7.0,0.0035,46465007.54031781,48624909.75820662,2159902.2179,46465007.54031781,48624909.75820662,2159902.2179
